State,State Code,Year,Population
Alabama,AL,2010,4785437
Alaska,AK,2010,713910
Arizona,AZ,2010,6407172
Arkansas,AR,2010,2921964
California,CA,2010,37319502
Colorado,CO,2010,5047349
Connecticut,CT,2010,3579114
Delaware,DE,2010,899593
District of Columbia,DC,2010,605226
Florida,FL,2010,18845537
Georgia,GA,2010,9711881
Hawaii,HI,2010,1363963
Idaho,ID,2010,1570746
Illinois,IL,2010,12840503
Indiana,IN,2010,6490432
Iowa,IA,2010,3050745
Kansas,KS,2010,2858190
Kentucky,KY,2010,4348181
Louisiana,LA,2010,4544532
Maine,ME,2010,1327629
Maryland,MD,2010,5788645
Massachusetts,MA,2010,6566307
Michigan,MI,2010,9877510
Minnesota,MN,2010,5310828
Mississippi,MS,2010,2970548
Missouri,MO,2010,5995974
Montana,MT,2010,990697
Nebraska,NE,2010,1829542
Nevada,NV,2010,2702405
New Hampshire,NH,2010,1316762
New Jersey,NJ,2010,8799446
New Mexico,NM,2010,2064552
New York,NY,2010,19399878
North Carolina,NC,2010,9574323
North Dakota,ND,2010,674715
Ohio,OH,2010,11539336
Oklahoma,OK,2010,3759944
Oregon,OR,2010,3837491
Pennsylvania,PA,2010,12711160
Rhode Island,RI,2010,1053959
South Carolina,SC,2010,4635649
South Dakota,SD,2010,816166
Tennessee,TN,2010,6355311
Texas,TX,2010,25241971
Utah,UT,2010,2775332
Vermont,VT,2010,625879
Virginia,VA,2010,8023699
Washington,WA,2010,6742830
West Virginia,WV,2010,1854239
Wisconsin,WI,2010,5690475
Wyoming,WY,2010,564487
Puerto Rico,PR,2010,3721525
Alabama,AL,2011,4799069.0
Alaska,AK,2011,722128.0
Arizona,AZ,2011,6472643.0
Arkansas,AR,2011,2940667.0
California,CA,2011,37638369.0
Colorado,CO,2011,5121108.0
Connecticut,CT,2011,3588283.0
Delaware,DE,2011,907381.0
District of Columbia,DC,2011,619800.0
Florida,FL,2011,19053237.0
Georgia,GA,2011,9802431.0
Hawaii,HI,2011,1379329.0
Idaho,ID,2011,1583910.0
Illinois,IL,2011,12867454.0
Indiana,IN,2011,6516528.0
Iowa,IA,2011,3066336.0
Kansas,KS,2011,2869225.0
Kentucky,KY,2011,4369821.0
Louisiana,LA,2011,4575625.0
Maine,ME,2011,1328284.0
Maryland,MD,2011,5839419.0
Massachusetts,MA,2011,6613583.0
Michigan,MI,2011,9882412.0
Minnesota,MN,2011,5346143.0
Mississippi,MS,2011,2978731.0
Missouri,MO,2011,6010275.0
Montana,MT,2011,997316.0
Nebraska,NE,2011,1840672.0
Nevada,NV,2011,2712730.0
New Hampshire,NH,2011,1320202.0
New Jersey,NJ,2011,8828117.0
New Mexico,NM,2011,2080450.0
New York,NY,2011,19499241.0
North Carolina,NC,2011,9657592.0
North Dakota,ND,2011,685225.0
Ohio,OH,2011,11544663.0
Oklahoma,OK,2011,3788379.0
Oregon,OR,2011,3872036.0
Pennsylvania,PA,2011,12745815.0
Rhode Island,RI,2011,1053649.0
South Carolina,SC,2011,4671994.0
South Dakota,SD,2011,823579.0
Tennessee,TN,2011,6399291.0
Texas,TX,2011,25645629.0
Utah,UT,2011,2814384.0
Vermont,VT,2011,627049.0
Virginia,VA,2011,8101155.0
Washington,WA,2011,6826627.0
West Virginia,WV,2011,1856301.0
Wisconsin,WI,2011,5705288.0
Wyoming,WY,2011,567299.0
Puerto Rico,PR,2011,3678732.0
Alabama,AL,2012,4815588.0
Alaska,AK,2012,730443.0
Arizona,AZ,2012,6554978.0
Arkansas,AR,2012,2952164.0
California,CA,2012,37948800.0
Colorado,CO,2012,5192647.0
Connecticut,CT,2012,3594547.0
Delaware,DE,2012,915179.0
District of Columbia,DC,2012,634924.0
Florida,FL,2012,19297822.0
Georgia,GA,2012,9901430.0
Hawaii,HI,2012,1394804.0
Idaho,ID,2012,1595324.0
Illinois,IL,2012,12882510.0
Indiana,IN,2012,6537703.0
Iowa,IA,2012,3076190.0
Kansas,KS,2012,2885257.0
Kentucky,KY,2012,4386346.0
Louisiana,LA,2012,4600972.0
Maine,ME,2012,1327729.0
Maryland,MD,2012,5886992.0
Massachusetts,MA,2012,6663005.0
Michigan,MI,2012,9897145.0
Minnesota,MN,2012,5376643.0
Mississippi,MS,2012,2983816.0
Missouri,MO,2012,6024367.0
Montana,MT,2012,1003783.0
Nebraska,NE,2012,1853303.0
Nevada,NV,2012,2743996.0
New Hampshire,NH,2012,1324232.0
New Jersey,NJ,2012,8844942.0
New Mexico,NM,2012,2087309.0
New York,NY,2012,19572932.0
North Carolina,NC,2012,9749476.0
North Dakota,ND,2012,701176.0
Ohio,OH,2012,11548923.0
Oklahoma,OK,2012,3818814.0
Oregon,OR,2012,3899001.0
Pennsylvania,PA,2012,12767118.0
Rhode Island,RI,2012,1054621.0
South Carolina,SC,2012,4717354.0
South Dakota,SD,2012,833566.0
Tennessee,TN,2012,6453898.0
Texas,TX,2012,26084481.0
Utah,UT,2012,2853375.0
Vermont,VT,2012,626090.0
Virginia,VA,2012,8185080.0
Washington,WA,2012,6897058.0
West Virginia,WV,2012,1856872.0
Wisconsin,WI,2012,5719960.0
Wyoming,WY,2012,576305.0
Puerto Rico,PR,2012,3634488.0
Alabama,AL,2013,4830081.0
Alaska,AK,2013,737068.0
Arizona,AZ,2013,6632764.0
Arkansas,AR,2013,2959400.0
California,CA,2013,38260787.0
Colorado,CO,2013,5269035.0
Connecticut,CT,2013,3594841.0
Delaware,DE,2013,923576.0
District of Columbia,DC,2013,650581.0
Florida,FL,2013,19545621.0
Georgia,GA,2013,9972479.0
Hawaii,HI,2013,1408243.0
Idaho,ID,2013,1611206.0
Illinois,IL,2013,12895129.0
Indiana,IN,2013,6568713.0
Iowa,IA,2013,3092997.0
Kansas,KS,2013,2893212.0
Kentucky,KY,2013,4404659.0
Louisiana,LA,2013,4624527.0
Maine,ME,2013,1328009.0
Maryland,MD,2013,5923188.0
Massachusetts,MA,2013,6713315.0
Michigan,MI,2013,9913065.0
Minnesota,MN,2013,5413479.0
Mississippi,MS,2013,2988711.0
Missouri,MO,2013,6040715.0
